Anketa_Number;A_1;A_2;A_3;A_4;A_5;A_6;A_7;A_8;A_9;A_10;A_11;B_1;B_2;B_3;B_4;B_5;B_6;C1_1;C1_2;C2_1;C2_2;C3_1;C3_2;C4_1;C4_2;C5_1;C5_2;C6_1;C6_2;C7_1;C7_2;C8_1;C8_2;C9_1;C9_2;C10_1;C10_2;Expert;
anketa_10009;6;6;6;6;5;5;6;5;3;5;4;1;1;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;
Anketa_10011;7;5;7;1;7;7;3;6;7;7;5;1;0;1;0;1;1;1;0;0;0;1;0;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;
anketa_10012;2;4;7;7;6;6;1;6;4;6;6;0;0;1;1;1;0;1;0;0;0;1;0;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;
anketa_10014;7;5;7;4;5;3;2;4;3;7;3;0;0;0;0;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;
anketa_10016;7;5;7;7;7;6;4;5;6;7;5;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
Anketa_10017;7;5;7;7;7;6;4;5;6;7;5;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;
anketa_10018;2;3;7;7;5;5;1;4;2;7;1;0;0;0;1;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;
anketa_10019;6;4;7;7;5;5;1;3;1;7;1;1;1;1;1;0;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;
anketa_10020;7;7;7;7;7;7;7;4;6;7;6;1;0;0;0;0;1;1;0;0;0;1;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;
anketa_10021;6;5;5;2;3;5;3;1;1;5;1;1;0;1;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10022;7;5;7;7;5;6;1;3;2;7;3;0;0;1;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Anketa_10023;7;7;7;7;7;7;7;7;7;7;7;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
anketa_10024;4;4;2;4;4;6;6;3;2;6;1;0;0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;
anketa_10025;4;2;4;2;2;4;1;5;2;7;5;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
anketa_10026;7;7;7;7;7;7;2;4;4;7;5;0;0;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0;1;1;1;0;0;1;1;0;
anketa_10027;2;6;7;6;5;5;4;5;6;7;4;0;0;1;0;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0;1;1;1;0;0;1;1;0;
anketa_10028;6;5;7;6;4;6;3;4;3;5;2;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;
anketa_10029;7;4;4;4;4;7;2;5;4;5;5;0;0;0;0;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;
